day,daytime,duration,personAmount,personType,
13.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,<10min,2,friends,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
14.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,>60min,>10,friends,team
,,,,,
,,,,,
,,,,,
15.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,10-30min,2,friends,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
16.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
17.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
18.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,10-30min,3-4,friends,
,,,,,
,,,,,
,,,,,
19.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,10-30min,3-4,friends,
,,,,,
,,,,,
,,,,,
20.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
21.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
22.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
23.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,,,,
,,,,,
,,,,,
,,,,,
24.05.2019,,,,,
,Morning,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,>60min,>10,mixed,
,,,,,
,,,,,
,,,,,
25.05.2019,,,,,
,Morning,,,,
,,>60min,>10,mixed,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,>60min,>10,mixed,
,,,,,
,,,,,
,,,,,
,Evening,,,,
,,>60min,>10,mixed,
,,,,,
,,,,,
,,,,,
26.05.2019,,,,,
,Morning,,,,
,,>60min,>10,mixed,
,,,,,
,,,,,
,,,,,
,Noon,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Evening,,,,
