day,daytime,foodType,foodSize,where
13.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,snack,atHome
,,vegetarian,fullMeal,atHome
,,,,
,,,,
14.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
15.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
16.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,vegan,snack,atHome
,,vegetarian,snack,atHome
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
17.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,vegetarian,snack,somewhereElse
,,vegetarian,snack,somewhereElse
,,,,
,Evening,,,
,,meatEater,fullMeal,restaurant
,,,,
,,,,
,,,,
18.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
19.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,fullMeal,restaurant
,,,,
,,,,
,,,,
20.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,atHome
,,vegan,snack,atHome
,,vegetarian,snack,atHome
,,,,
,Evening,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
21.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
22.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,snack,somewhereElse
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
23.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,vegetarian,snack,atHome
,,,,
,,,,
,Evening,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
24.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,vegetarian,snack,atHome
,,,,
,,,,
25.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegan,snack,somewhereElse
,,meatEater,snack,restaurant
,,meatEater,fullMeal,restaurant
,,vegetarian,snack,restaurant
,Evening,,,
,,meatEater,fullMeal,somewhereElse
,,,,
,,,,
,,,,
26.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,restaurant
,,vegetarian,snack,somewhereElse
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,somewhereElse
,,vegetarian,snack,somewhereElse
,,vegetarian,snack,somewhereElse
