day,daytime,duration,personAmount,personType
13.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,10-30min,1,mixed
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
14.05.2019,,,,
,Morning,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,1,partner(gf/bf)
,,10-30min,1,family
,,<10min,2,friends
,,,,
,Evening,,,
,,10-30min,1,family
,,>60min,1,partner(gf/bf)
,,,,
,,,,
15.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
16.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,30-60min,1,mixed
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,10-30min,2,family
,,,,
,,,,
17.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
18.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
19.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
20.05.2019,,,,
,Morning,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,2,friends
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,10-30min,2,family
,,,,
,,,,
21.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,1,mixed
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
22.05.2019,,,,
,Morning,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,<10min,1,friends
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
23.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,10-30min,1,friends
,,,,
,,,,
24.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,30-60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,10-30min,1,family
,,,,
,,,,
25.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
26.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,>60min,2,friends
